"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"36","Whg_7_a","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.404541885103019,0.313094567965566,0.52269874200022,169.111591001538,98.1265251176907,291.447497776681,17.1031804541332,9.11575577712107,32.0893614088275,0.202270942551509,0.156547283982783,0.26134937100011,84.5557955007692,49.0632625588454,145.72374888834,11.7521026749847,2.17582590394429,30.5500682565259,0.138986365220558,0.0257324278135908,0.361300701809943,0.131806200374438,0.0507036510358406,0.711913575986023,2.34422962170025,0.901786109825696,12.6616872967734,"","",""
"361","Whg_7_a","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.417458226810313,0.220395923340599,0.790719576343037,119.056970699084,72.5009691671989,195.508590227998,12.4253279693618,5.87879646340771,26.2619697938498,0.208729113405156,0.110197961670299,0.395359788171518,59.5284853495422,36.2504845835994,97.7542951139991,1.8063520993053,1.31238084121275,4.19465949150144,0.0303443316035789,0.0220462663127854,0.0704647441787078,0.857529382336771,0.369279080492312,1.18029763263581,67.6952832630693,29.1517147656584,93.1753292910872,"","",""
"1","Whg_7_a","SPICT","1","N","N","N","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",6.43323999196367,1.0029268063523,11.863553177575,4.25084488320061,0.548203328043371,7.95348643835785,16.11375189,NA,NA,20.56947438,8.14169677,51.96745692,0.7833818,0.31058508,1.97590638,3.92616971,1.63245465,9.44271784,5.01182148,4.52786415,5.54750623,0.43157822,0.15792354,1.17942998,0.02098149,0.01291775,0.03407893,"Convergence: 1  MSG: false convergence (8)","",""
"11","Whg_7_a","SPICT","1","Y","N","N","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",28.1281514131255,NA,NA,2.08613952038095,NA,NA,14.67755285,13.59698072,15.84399963,14.07206084,NA,NA,1.04302793,NA,NA,1.96761522,NA,NA,1.88644539,1.45642882,2.4434261,0.80343021,NA,NA,0.057094,0.0366902,0.08884457,"Convergence: 0  MSG: relative convergence (4)","",""
"12","Whg_7_a","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.696249933599486,0.00508725115050412,1.38741261604847,124.881084820281,-127.343001444882,377.105171085444,21.53737259,6.4377111,72.05331382,0.34686331,0.12819763,0.93850528,62.09307992,8.24328705,467.72004279,121.53205719,15.84921797,931.9097604,1.95725606,1.72600078,2.2194957,0.01346945,0.00171522,0.10577431,0.03883215,0.01083631,0.13915581,"Convergence: 0  MSG: relative convergence (4)","",""
"13","Whg_7_a","SPICT","1","Y","Y","Y","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.594869029407584,0.252446667286294,0.937291391528874,183.544296241818,9.47811349979091,357.610478983845,27.02985752,12.79133004,57.1178443,0.29623721,0.16625163,0.52785338,91.24609089,35.35756976,235.47571738,179.02561224,68.35344483,468.88887484,1.96200857,1.7218218,2.23570036,0.00917372,0.00324565,0.02592924,0.03096749,0.01312282,0.0730777,"Convergence: 0  MSG: relative convergence (4)","",""
"14","Whg_7_a","SPICT","1","Y","Y","N","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.856878162018638,0.329483315551084,1.38427300848619,107.864610996409,-139.516155360784,355.245377353601,22.66233295,2.5267736,203.25577864,0.42544373,0.22869614,0.79145353,53.27217059,5.41837087,523.75967405,1.98375619,0.89052023,4.41908955,0.03723813,0.00360662,0.38448196,0.77931479,0.38375525,1.58260127,1.83176935,1.37170105,2.44614448,"Convergence: 0  MSG: relative convergence (4)","",""
"15","Whg_7_a","SPICT","1","Y","Y","Y","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.835621039992808,0.334025876714732,1.33721620327088,193.679883549315,-8.76980481616124,396.129571914791,39.58676777,12.1113354,129.39218767,0.41449119,0.22629054,0.75921402,95.51749217,33.61332752,271.42779315,2.00388515,0.9118877,4.40356383,0.02097925,0.00569831,0.07723842,0.76803607,0.38425307,1.5351326,1.85296114,1.41906083,2.41953332,"Convergence: 0  MSG: relative convergence (4)","",""
"16","Whg_7_a","SPICT","1","N","Y","N","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.801370377947118,NA,NA,34.6572335359493,NA,NA,16.83200596,NA,NA,2.75702597,NA,NA,6.10383156,NA,NA,31.72883193,NA,NA,5.19818275,NA,NA,0.05335051,NA,NA,0.01935075,0.0163725,0.02287076,"Convergence: 1  MSG: false convergence (8)","",""
"17","Whg_7_a","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.416062635096766,0.293078455554174,0.539046814639358,72.2241746352216,40.6856449320601,103.762704338383,18.64793468,17.13182367,20.29821662,1.56874173,1.04177788,2.36226039,11.88579326,7.09986516,19.89785416,67.22966124,41.5309529,108.83033098,5.65630411,4.74246863,6.74622831,0.0250557,0.01309222,0.04795124,0.01597185,0.0104162,0.02449069,"Convergence: 1  MSG: function evaluation limit reached without convergence (9)","",""
"18","Whg_7_a","SPICT","1","N","Y","N","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.522443124576121,0.0518791757534418,0.993007073398801,875.512845351484,-4264.1154562978,6015.14114700077,139.30957584,0.54726984,35461.77136615,0.37627162,0.1928526,0.73413751,370.25660182,1.1285448,121474.97489136,1.30548915,0.51578106,3.30431278,0.0035259,0.000008,1.55462608,1.1904061,0.50460843,2.80825009,3.16368827,1.32220426,7.56987689,"Convergence: 0  MSG: relative convergence (4)","",""
"19","Whg_7_a","SPICT","1","N","Y","Y","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.611319252048826,0.15394241382631,1.06869609027134,219.656467249946,0.667668387654686,438.645266112238,39.42897196,13.41263694,115.90888779,0.41122322,0.2284551,0.74020906,95.88682747,36.16213536,254.25168037,1.42151015,0.56862633,3.55363619,0.01482487,0.00387036,0.05678464,1.09616681,0.47113396,2.55040345,2.6656248,1.41986723,5.00438029,"Convergence: 0  MSG: relative convergence (4)","",""
"110","Whg_7_a","SPICT","All","N","N","N","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",1.52831603384241,NA,NA,19.8856414459531,NA,NA,16.3840201,NA,NA,3.65607331,NA,NA,4.48010764,NA,NA,17.76844439,15.70574216,20.10205012,3.96607534,3.03778237,5.17803833,0.09160943,0.06159586,0.1362476,0.02505678,0.01584865,0.03961489,"Convergence: 1  MSG: false convergence (8)","",""
"111","Whg_7_a","SPICT","All","Y","N","N","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",26.718058434185,12.2750480224095,41.1610688459605,2.22091247009568,0.977573625842434,3.46425131434893,14.85276391,13.33398745,16.54453303,13.37677647,7.82262283,22.87444412,1.11033939,0.63459194,1.9427501,2.06363638,1.12693865,3.7789059,1.85856361,1.45222268,2.37860125,0.75262327,0.3736451,1.51598881,0.05626343,0.03598358,0.0879727,"Convergence: 0  MSG: relative convergence (4)","",""
"112","Whg_7_a","SPICT","All","Y","Y","N","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.715192724639684,0.0744290294743564,1.35595641980501,144.735519251489,-132.237359093226,421.708397596204,24.72030048,6.53509115,93.50952302,0.35133709,0.14168789,0.87119478,70.39576871,10.34164303,479.18539054,140.04103629,20.00201214,980.47594953,1.98933883,1.57551787,2.51185282,0.0115878,0.00163443,0.0821554,0.032982,0.00825965,0.13170201,"Convergence: 0  MSG: relative convergence (4)","",""
"113","Whg_7_a","SPICT","All","Y","Y","Y","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.652458111466209,0.242616704697565,1.06229951823485,188.201762594123,11.3414418345376,365.062083353708,29.31555905,12.4561443,68.99422341,0.32031344,0.16866217,0.60832076,91.56825124,35.71886146,234.7427743,182.50802936,68.79694064,484.16659911,1.99313656,1.57654477,2.51981004,0.00892223,0.00315588,0.02522474,0.02785469,0.01076181,0.07209604,"Convergence: 0  MSG: relative convergence (4)","",""
"114","Whg_7_a","SPICT","All","Y","Y","N","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",8.67502280900753,5.9127296340522,11.4373159839629,6.51439450685495,4.65109498969954,8.37769402401036,14.32715422,12.24167717,16.76791057,4.42475996,3.27244609,5.98283368,3.23756405,2.45286083,4.27330438,6.13842267,4.36609882,8.63018326,1.89600038,1.55103622,2.31768762,0.25840069,0.1538401,0.43402805,0.0583988,0.03695188,0.09229356,"Convergence: 0  MSG: relative convergence (4)","",""
"115","Whg_7_a","SPICT","All","Y","Y","Y","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.491930365193391,0.291290631649961,0.692570098736821,185.638546762497,-13.6909137551266,384.968007280121,16.85007229,5.61176861,50.59455507,0.2182682,0.14582217,0.32670619,78.95787081,26.71276989,233.3844595,8.5336677,5.31147379,13.71059846,0.10807875,0.03276154,0.35654658,0.1920857,0.10766025,0.34271624,0.8800444,0.46877036,1.65214827,"Convergence: 0  MSG: relative convergence (4)","",""
"116","Whg_7_a","SPICT","All","N","Y","Y","N","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.473040830819807,0.375221525148867,0.570860136490748,78.7642504005759,42.9917552926327,114.536745508519,18.70590481,15.26772206,22.91834194,0.9813378,0.70976429,1.35682211,19.06156076,11.43565108,31.77283882,72.06088006,43.40174358,119.6442817,3.78042916,2.79155482,5.1196002,0.0225746,0.01055956,0.04826076,0.0230039,0.01294502,0.040879,"Convergence: 1  MSG: false convergence (8)","",""
"117","Whg_7_a","SPICT","All","N","Y","N","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.529924840499432,0.0604488549197092,0.999400826079155,89.0474819346087,-37.0169708117432,215.111934680961,8.68081014,2.51127501,30.00725302,0.23438115,0.14906494,0.36852746,37.88126943,9.40061065,152.64865525,8.61304541,5.3516357,13.86203311,0.2273695,0.05173543,0.99925508,0.18928141,0.10546287,0.33971628,0.80757949,0.40643889,1.60463148,"Convergence: 0  MSG: relative convergence (4)","",""
"118","Whg_7_a","SPICT","All","N","Y","Y","Y","Medium","0.2","0.8","23.791875","380.67","5.30941029933342","0.535016540874068","124.702380952381","498.809523809524","5.74222067782118","0.229072682968539",0.476423440552445,0.0731646255316151,0.879682255573274,185.483729786607,-13.0476870548338,384.015146628048,16.55211992,5.1520799,53.17710115,0.21730445,0.14337361,0.32935783,77.89537706,25.25637768,240.24386412,8.51543136,5.28708188,13.71504599,0.10931883,0.03224453,0.37062426,0.1923523,0.10766348,0.34365792,0.88517425,0.4638007,1.68937531,"Convergence: 0  MSG: relative convergence (4)","",""
